Energy	uncertainty Intensity (%)	Dose ( MeV/Bq-s )
 5201	0     3E-5 % 3 	  1.3E-6 13 
 5238	0     1.0E-4 % 10 	  5E-6 5 
 5273	0     6E-5 % 6 	  3E-6 3 
 5307	0     6E-5 % 6 	  3E-6 3 
 5341	0     4.0E-4 % 4 	  2.1E-5 3 
 5359	0     5E-5 % 5 	  3E-6 3 
 5370	0     1.30E-4 % 13 	  7.0E-6 10 
 5422	0     1.5E-4 % 15 	  8E-6 8 
 5431	0     0.0026 % 3 	  1.41E-4 20 
  5433 3 	     7.7E-4 % 8 	  4.2E-5 4 
  5471 3  	     2E-4 %	  1.0942E-5
  5483 3 	     3.2E-4 %	  1.7546E-5
  5501 3 	     0.0440 % 20 	  0.00242 11 
  5532 3 	     2.1E-4 %	  1.1617E-5
  5559 2 	     0.113 % 5 	  0.0063 3 
  5604 3 	     0.001 %	  5.604E-5
  5616 3 	     0.0069 %	  3.8750E-4
  5645 3 	     0.00150 % 15 	  8.5E-5 8 
  5658 3 	     1.00E-4 % 10 	  5.7E-6 6 
  5694 2 	     0.300 % 10 	  0.0171 6 
  5704 2 	     0.03 %	  0.0017112
  5759.5 10 	     4.69 % 5 	  0.270 3 
  5783.3 20 	     0.26 %	  0.015037
  5813.3 10 	    82.2 % 5 	  4.78 3 
  5849.3 10 	     1.430 % 20 	  0.0836 12 
  5903.2 10 	     3.21 % 3 	  0.1895 18 
  5946.0 10 	     3.33 % 3 	  0.1980 18 
  5999.6 20 	     0.026 %	  0.0015599
  6071.9 20 	     0.346 % 7 	  0.0210 4 
  6139.3 7 	     1.330 % 10 	  0.0817 6 
  6193.8 7 	     2.460 % 20 	  0.1524 12 
