http://www.nndc.bnl.gov/chart/decaysearchdirect.jsp?nuc=238PU&unc=nds
Energy 
(keV)	Intensity 
(%)	Dose 
( MeV/Bq-s )
  4430.7 4 	     1.10E-6 % 11 	  4.9E-8 5 
  4470.8 3 	     1.20E-6 % 20 	  5.4E-8 9 
  4524.9 4 	     7E-8 % 7 	  3E-9 3 
  4565.8 3 	     2.5E-7 % 8 	  1.1E-8 4 
 ≈4590	     1.2E-5 %	  5.5E-7
  4661	     5.93E-6 % 23 	  2.76E-7 11 
  4662.6 4 	     9E-8 % 4 	  4.2E-9 19 
  4704	     5E-5 %	  2.352E-6
  4724	     2.2E-5 %	  1.0393E-6
 ≈5015	     6.8E-6 % 4 	  3.4E-7 4 
  5205.6	     0.00300 % 10 	  1.56E-4 5 
  5357.7	     0.105 % 5 	  0.0056 3 
  5456.3 3 	    28.98 % 10 	  1.581 5 
  5499.03 20 	    70.91 % 10 	  3.899 6 
