http://www.nndc.bnl.gov/chart/decaysearchdirect.jsp?nuc=240PU&unc=nds
Energy 
(keV)	Intensity 
(%)	Dose 
( MeV/Bq-s )
  4217.3	     3E-8 % 3 	  1.1E-9 11 
  4224.1	     3E-8 % 3 	  1.1E-9 11 
  4226.1	     5E-8 % 5 	  2.1E-9 21 
  4264.38 21 	     5.9E-7 % 7 	  2.5E-8 3 
  4436.4	     1.3E-8 % 7 	  6E-10 3 
  4492.07 17 	     2.00E-5 % 10 	  9.0E-7 4 
  4654.69 16 	     4.6E-5 % 5 	  2.14E-6 23 
  4863.60 15 	     0.00106 % 3 	  5.16E-5 15 
  5021.23 15 	     0.084 % 3 	  0.00422 15 
  5123.68 23 	    27.10 % 10 	  1.389 5 
  5168.17 15 	    72.80 % 10 	  3.762 5 
